CODLOC,LOCALIDAD,CODIGO,NUMVIV,CODDIST,CODINT
174,Asoc. El Conquistador,15,173,14,
175,AVIS Rafael Hoyos Rubios,28,758,14,
176,Villa Independiente Zona B,76,359,14,
177,Urb. Semirural Pachacutec sector VIII,16,489,15,
178,Urb. Semirural Pachacutec sector IV,21,471,15,
179,P.P.J.J. Mariscal Castilla,14,578,15,
180,José Santos Atahualpa,15,468,15,
181,Urb. Semirural Pachacutec VIII A,17,328,15,
182,Urb. Semirural Pachacutec III,20,338,15,
183,Urb. Semirural Pachacutec VII,24,333,15,
184,P.P.J.J. Alto Libertad Sector 18,37,199,15,
185,P.P.J.J. Alto Libertad Sector 17,40,394,15,
186,P.P.J.J. Alto Libertad Sector 14,43,343,15,
187,Veracruz,45,258,15,
188,Urb. La Libertad,47,1308,15,
189,P.P.J.J. Alto Libertad Sector 16,41,545,15,
190,José Galvez 1,51,101,15,
191,José Galvez 2,52,85,15,
192,Canco,79,11,,
193,Murco,80,97,,
194,Huanca - Murco,1,97,18,
195,Canco,1,11,18,
196,Huambo- Canco,1,11,19,
197,Urb. Río Seco,96,551,15,
198,Hernán Bedoya Forga I Etapa,236,436,15,
