CODCNSLDD,CODIGO,SEEKVIV,CODVIV,CICLO
4104   1000680000000033,149,4104   1149,000000033785,1
4104   1000680000000033,150,4104   1150,000000033786,1
4104   1000680000000033,153,4104   1153,000000033787,1
4104   1000680000000033,154,4104   1154,000000033788,1
4104   1000680000000033,155,4104   1155,000000033789,1
4104   1000680000000033,156,4104   1156,000000033790,1
4104   1000680000000033,157,4104   1157,000000033791,1
4104   1000680000000033,158,4104   1158,000000033792,1
4104   1000680000000033,159,4104   1159,000000033793,1
4104   1000680000000033,160,4104   1160,000000033794,1
4104   1000680000000033,161,4104   1161,000000033795,1
4104   1000680000000033,163,4104   1163,000000033796,1
4104   1000680000000033,164,4104   1164,000000033797,1
4104   1000680000000033,165,4104   1165,000000033798,1
4104   1000680000000033,167,4104   1167,000000033799,1
4104   1000680000000033,168,4104   1168,000000033800,1
4104   1000680000000033,169,4104   1169,000000033801,1
4104   1000680000000033,171,4104   1171,000000033802,1
4104   1000680000000033,172,4104   1172,000000033803,1
4104   1000680000000033,173,4104   1173,000000033804,1
4104   1000680000000033,174,4104   1174,000000033805,1
4104   1000680000000033,175,4104   1175,000000033806,1
4104   1000680000000033,176,4104   1176,000000033807,1
4104   1000680000000033,177,4104   1177,000000033808,1
4104   1000680000000033,178,4104   1178,000000033809,1
4104   1000680000000033,179,4104   1179,000000033810,1
4104   1000680000000033,181,4104   1181,000000033811,1
4104   1000680000000033,182,4104   1182,000000033812,1
4104   1000680000000033,183,4104   1183,000000033813,1
4104   1000680000000033,184,4104   1184,000000033814,1
4104   1000680000000033,185,4104   1185,000000033815,1
4104   1000680000000033,186,4104   1186,000000033816,1
4104   1000680000000033,187,4104   1187,000000033817,1
4104   1000680000000033,188,4104   1188,000000033818,1
4104   1000680000000033,192,4104   1192,000000033819,1
4104   1000680000000033,193,4104   1193,000000033820,1
4104   1000680000000033,194,4104   1194,000000033821,1
4104   1000680000000033,195,4104   1195,000000033822,1
4104   1000680000000033,196,4104   1196,000000033823,1
4104   1000680000000033,197,4104   1197,000000033824,1
4104   1000680000000033,198,4104   1198,000000033825,1
4104   1000680000000033,199,4104   1199,000000033826,1
4104   1000680000000033,202,4104   1202,000000033827,1
4104   1000680000000033,204,4104   1204,000000033828,1
4104   1000680000000033,205,4104   1205,000000033829,1
4104   1000680000000033,207,4104   1207,000000033830,1
4104   1000680000000033,210,4104   1210,000000033831,1
4104   1000680000000033,211,4104   1211,000000033832,1
4104   1000680000000033,212,4104   1212,000000033833,1
4104   1000680000000033,213,4104   1213,000000033834,1
4104   1000680000000033,214,4104   1214,000000033835,1
4104   1000680000000033,215,4104   1215,000000033836,1
4104   1000680000000033,216,4104   1216,000000033837,1
4104   1000680000000033,217,4104   1217,000000033838,1
4104   1000680000000033,218,4104   1218,000000033839,1
4104   1000680000000033,221,4104   1221,000000033840,1
4104   1000680000000033,223,4104   1223,000000033841,1
4104   1000680000000033,224,4104   1224,000000033842,1
4104   1000680000000033,225,4104   1225,000000033843,1
4104   1000680000000033,230,4104   1230,000000033844,1
4104   1000680000000033,231,4104   1231,000000033845,1
4104   1000680000000033,232,4104   1232,000000033846,1
4104   1000680000000033,247,4104   1247,000000033847,1
4104   1000680000000033,249,4104   1249,000000033848,1
4104   1000680000000033,251,4104   1251,000000033849,1
4104   1000680000000033,287,4104   1287,000000033850,1
4104   1000680000000033,288,4104   1288,000000033851,1
4104   1000680000000033,289,4104   1289,000000033852,1
4104   1000680000000033,292,4104   1292,000000033853,1
4104   1000680000000033,293,4104   1293,000000033854,1
11141  1000550000000037,57,11141  157,000000041310,1
11141  1000550000000037,66,11141  166,000000041311,1
11141  1000550000000037,115,11141  1115,000000041312,1
11141  1000550000000037,116,11141  1116,000000041313,1
11127  1000040000000030,52,11127  152,000000041364,1
11127  1000040000000030,61,11127  161,000000041365,1
11127  1000040000000030,111,11127  1111,000000041366,1
11132  1000040000000019,54,11132  154,000000041454,1
11120  1000710000000048,57,11120  157,000000042189,1
11122  1000750000000310,344,11122  1344,000000042674,1
11122  1000750000000310,438,11122  1438,000000042675,1
11122  1000750000000310,460,11122  1460,000000042676,1
11122  1000750000000310,534,11122  1534,000000042677,1
11113  1000710000000046,95,11113  195,000000042997,1
11113  1000710000000046,97A,11113  197A,000000042998,1
11122  1000750000000310,344,11122  1344,000000043204,1
11122  1000750000000310,438,11122  1438,000000043205,1
11122  1000750000000310,460,11122  1460,000000043206,1
11122  1000750000000310,534,11122  1534,000000043207,1
11125  1000750000000045,48,11125  148,000000043599,1
11125  1000750000000045,52,11125  152,000000043600,1
11125  1000750000000045,63,11125  163,000000043601,1
11125  1000750000000045,66,11125  166,000000043602,1
11125  1000750000000045,67,11125  167,000000043603,1
11125  1000750000000045,68,11125  168,000000043604,1
11125  1000750000000045,86,11125  186,000000043605,1
11125  1000750000000045,90,11125  190,000000043606,1
11125  1000750000000045,120,11125  1120,000000043607,1
11125  1000750000000045,128,11125  1128,000000043608,1
11125  1000750000000045,130,11125  1130,000000043609,1
11125  1000750000000045,131,11125  1131,000000043610,1
11125  1000750000000045,143,11125  1143,000000043611,1
11155  1000430000000056,162,11155  1162,000000043712,1
11155  1000430000000056,164,11155  1164,000000043713,1
11155  1000430000000056,199,11155  1199,000000043714,1
11155  1000430000000056,162,11155  1162,000000043712,1
11155  1000430000000056,164,11155  1164,000000043713,1
11155  1000430000000056,199,11155  1199,000000043714,1
1113   1000550000000026,96,1113   196,000000043748,1
1113   1000550000000026,109,1113   1109,000000043749,1
1113   1000550000000026,96,1113   196,000000043749,1
1113   1000550000000026,109,1113   1109,000000043750,1
1115   1000750000000043,117,1115   1117,000000044399,1
11113  2000040000000056,97A,11113  297A,000000046045,2
11155  2000040000000065,162,11155  2162,000000046084,2
11155  2000040000000065,163,11155  2163,000000046085,2
11155  2000040000000065,165,11155  2165,000000046086,2
11125  2000370000000053,63,11125  263,000000046263,2
11125  2000370000000053,67,11125  267,000000046264,2
